issue_number,title,labels,Category,Sentiment,L1_Tag,L1_Category,L2_Tag,L2_Category,Confidence,Tagging_Notes
13601,[BUG] Significent differences reading text from photo in Claude UI vs Claude CLI,"bug, has repro, platform:macos, area:model, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13591,[FEATURE] Sticky/Fixed Input Mode - Keep input visible while scrolling output,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13586,[BUG] Custom slash command naming conflict with built-in Skill tool silently prevents ALL commands from loading,"bug, has repro, platform:macos, area:tools, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13576,[BUG] Latest Claude Code version not available in claude-agent-sdk,"bug, platform:macos, area:api, area:packaging",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13568,[Bug] Hookify plugin: incorrect sys.path configuration breaks module imports,"bug, duplicate, has repro, platform:macos",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13565,[BUG] MAX_THINKING_TOKENS not works on Claude Code for VS Code,"bug, platform:windows, area:model, area:ide",Bug,Negative,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13558,[BUG] Azure Foundry - Requested API is currently not supported,"bug, platform:macos, area:auth, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13551,[Bug] Max plan usage consumed at unusually high rate without workflow changes,"bug, has repro, platform:macos, area:cost, area:api",Bug,Negative,L1.2,API & Integration,Other,Other,Low,No L2 match found
13545,[BUG] Entire terminal/console content cloned/duplicated on terminal resize or focus switch,"bug, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13544,[BUG] Regression de claude code?,"bug, enhancement, platform:windows, area:model, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,No L2 match found
13536,[Bug] Excessive token usage on new session initialization,"bug, has repro, platform:macos, area:cost",Bug,Negative,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13529,"[BUG] When background Bash process completes, prompt editor is cleared, loosing partially entered prompt!","bug, has repro, platform:linux, area:tui, area:tools",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13523,[BUG] Some output from `/stats` in unreadable due to output colors not respecting used theme,"bug, has repro, platform:linux, area:tui, area:a11y",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13519,"[BUG] Claude generates Filament v3 code patterns instead of v4, causing fatal errors","bug, has repro, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
13518,"[BUG] ""PDF too large"" error persists and blocks all PDF reading","bug, has repro, platform:macos, area:tui, memory",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13517,[Bug] Custom statusLine command from settings.json not being executed,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13513,test,invalid,Bug,Neutral,Other,Other,Other,Other,Low,No clear L1/L2 match
13496,[FEATURE] Private/Silent Slack Integration feedback,"enhancement, area:mcp, area:security",Feature Request,Neutral,L1.5,MCP Integration,Other,Other,Low,No L2 match found
13493,Large cumulative agent descriptions impacting performance (~16.3k tokens),"enhancement, has repro, area:tools, memory, perf:memory",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,No L2 match found
13485,[Bug] Non-default models incorrectly enable extended thinking regardless of alwaysThinkingEnabled setting,"bug, platform:linux, area:model, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13474,[FEATURE] open browser instead jump to local path when click links in /sandbox description,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13469,"[Bug] Resume command pre-fills filter field with ""/esume"" instead of clearing it","bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13451,Feature request: Add 'disableProjectCommands' setting,"enhancement, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13445,[BUG] Ctrl+d to delete a character sometimes causes the app to exit,"bug, has repro, platform:macos, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13441,[BUG] Claude Code splices ANSI color codes when wrapping stdout from a program it ran,"bug, has repro, platform:macos, area:tui, area:tools",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13439,PreToolUse hook causes AskUserQuestion tool to return empty responses,"bug, has repro, platform:macos, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13430,[Feature Request] Add WASD/Arrow Key Navigation for Menus,"enhancement, platform:macos, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13425,[Feature Request] Add support for fish shell integration,"enhancement, platform:macos, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13423,Prism Server Requires Undocumented PRISM_CLIENT_SPAWNABLE Environment Variable,invalid,Bug,Negative,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13421,"[Bug] When Claude examines multiple images or a large image, it returns an error message and the conversation cannot continue in any way","bug, has repro, platform:macos, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
13406,[Bug] Image paste displays briefly then disappears; long text paste overflow into console,"bug, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13386,S-Chain WF1: Multi-Source PR Detection Required,invalid,Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13383,[BUG],"bug, has repro, platform:macos, area:tui, area:mcp",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13382,[Feature Request] Refactor utility functions into separate modules and add Zod schema validation,"enhancement, platform:macos, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13377,[BUG] Install the PyCharm plugin from the JetBrains Marketplace: https://docs.claude.com/s/claude-code-jetbrains,"bug, documentation, has repro, platform:windows, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13374,[Feature Request] Restrict write access to .git directories even when parent directory is writable,"enhancement, platform:linux, area:security",Feature Request,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13372,[BUG] Maven/Gradle builds fail in Claude Code Web cloud environment - DNS resolution failure for repo.maven.apache.org,"bug, has repro, external, area:core, area:packaging",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13370,[FEATURE] SSH Bell Emission,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13361,"[BUG] Running File Read on Windows is really slow, almost unusable. Please optimize the cygpath logic!","bug, has repro, platform:windows, perf:memory",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13357,Numbered feedback prompts conflict with numbered user responses,"bug, has repro, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13355,To be able to add funds/credits in Claude Code like you can in normal Claude (a small button shows up saying Add Funds),"enhancement, area:cost, area:tui",Bug,Negative,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13354,[FEATURE] Continue when the session limit reached,"enhancement, area:tui",Feature Request,Negative,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13351,[Bug] Incorrect year interpretation in file timestamps (2024 instead of 2025),"bug, has repro, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
13348,Add Stripe payment method for tier upgrades and paid onboarding,enhancement,Feature Request,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
13345,[BUG] Terminal receiving ANSI escape codes as typed input during tool execution,"bug, has repro, platform:macos, area:tui, area:tools",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13339,"[BUG] VS Code Extension Ignores Hook `permissionDecision: ""ask""`","bug, has repro, area:security, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13329,Feature Request: Non-Blocking Session Creation for ACP/SDK Clients,"enhancement, has repro, area:api, area:mcp",Feature Request,Negative,L1.2,API & Integration,Other,Other,Low,No L2 match found
13321,[BUG] User prompt being highlighted before it's accepted by model,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13308,Terminal: Apple Terminal (Terminal.app) scroll failure,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13304,[Bug] Model override to different model despite Sonnet configuration causes excessive token usage,"bug, platform:windows, area:cost, area:model",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
13303,[Bug] Update() tool causes token counting freeze with Max(20x) iteration limit,"bug, has repro, platform:macos, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,No L2 match found
13301,[BUG] Diff comparison window randomly fails to appear,"bug, has repro, platform:windows, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13283,"[BUG] TUI cut, unable to view full message","bug, has repro, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13280,[Bug] Multiple Claude Code instances fail after update to 2.0.60,,Bug,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
13278,[Bug] Claude generates unsafe destructive commands with rm -rf on root directory,,Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13274,docs: align node requirements,,Documentation,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13272,[Feature Request] User appreciation feedback,"bug, has repro, platform:macos, external",Feature Request,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13267,feat: add marketplace tags and expand security patterns,,Documentation,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
13262,[Feedback] System is consistently failing on previously successful tasks today,"bug, platform:linux",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13252,Add single-breaker CRUD endpoints for better UX,"enhancement, has repro, area:api",Feature Request,Negative,L1.2,API & Integration,Other,Other,Low,No L2 match found
13245,"[MODEL]  Claude Code misreads numeric values (1.5 vs 15, 1.1 vs 11)","bug, has repro, area:model, memory",Bug,Neutral,L1.7,Model & Reasoning,Other,Other,Low,Weak L2 match (score=1)
13243,"[FEATURE] Add `installMethod` support for system package manager installations (pacman/AUR, apt, etc.)","enhancement, has repro, platform:linux, area:packaging",Feature Request,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13238,[FEATURE] Organize plans by projects,enhancement,Feature Request,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13237,Test Coverage: Injuries Module Tests,invalid,Bug,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
13236,Test Coverage: Analytics Module Tests,invalid,Bug,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
13235,Test Coverage: V200+ Predictor Tests,invalid,Bug,Neutral,Other,Other,Other,Other,Low,Weak L1 match (score=1)
13228,[BUG] Extremely slow response times for Java code generation in Claude Code(15+ minutes),"bug, has repro, platform:macos, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13226,[Bug] Document processing hangs when rapidly skipping prompts during multi-document upload,"bug, has repro, platform:windows",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13222,[Bug] Terminal plugin truncates URLs to ~12 characters in plan phase output,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13219,[Bug] Multiple Claude Code instances fail with Cursor IDE integration,"bug, platform:macos, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13218,Dev mode: Add confirmation dialog for import database button,"enhancement, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13216,Feature Request: Subscription-Gated Local LLM for Claude Code,"enhancement, area:model, area:api, area:security",Feature Request,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13213,"[BUG] autoUpdaterStatus: ""disabled"" setting is ignored - CLI auto-updates anyway","bug, has repro, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13212,[BUG] Git proxy service not running on port 25968 - Unable to push to GitHub from Claude Code remote environment,"bug, has repro, platform:windows, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13209,[Bug] Flip UI command enters infinite loop on macOS without fixing issue,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13200,[Bug] Follow-up prompts not sending to server when queued,"bug, has repro, platform:macos, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13190,[Feature Request] Remove post-compaction confirmation prompt,"enhancement, platform:linux, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13186,[BUG] alse positive content filter on standard React form component,"bug, has repro, platform:windows, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13173,[Bug] Excessive token consumption on repeated task failures,"bug, has repro, platform:linux, area:mcp",Bug,Neutral,L1.5,MCP Integration,Other,Other,Low,No L2 match found
13163,Enforce strict ZIP code validation in file ingestion to reject malformed addresses,invalid,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13160,Duplicate competition doesn't copy all fields,invalid,Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13157,[BUG] Invalid Unicode in Edit tool results causes 400 'invalid JSON' API errors,"bug, has repro, api:vertex, platform:macos, area:tools, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
13156,[FEATURE] ClaudCode TUI Components,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13147,[Bug] Invalid string length error during CLI execution,"bug, duplicate, has repro, platform:linux, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
13143,"[BUG] wrong URL in ""Ready to code here?"" project onboarding screen","bug, documentation, has repro, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13132,[Bug] Exit command leaves duplicate prompt line on terminal,"bug, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13110,VaporWeb certificates should be per-device per-VaporNET,invalid,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13101,[Bug] Claude Code Hangs on Command Output in macOS VS Code Extension,"bug, has repro, platform:macos, area:tools, area:ide",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13097,[Docs] Clarify that extraKnownMarketplaces requires interactive trust dialog (not available in CI/headless mode),"documentation, enhancement",Documentation,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13092,[BUG]   API Error: 400,bug,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13090,[FEATURE] Installer should be able to install in a global folder like /usr/local/,"enhancement, has repro, platform:linux, area:packaging",Feature Request,Neutral,L1.8,Platform-Specific,Other,Other,Low,No L2 match found
13088,[BUG] /cost Command Resets on Session Resume [VS Code Extension],"bug, has repro, platform:macos, area:cost, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13085,"[BUG] With VS Code extension enabled, claude update in external terminal fails with 'Another process is currently updating Claude' error","bug, has repro, platform:macos, area:packaging, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13078,[BUG] [JetBrains Plugin] Ctrl+Alt+K inserts code reference to all terminal tabs and steals focus,"bug, has repro, platform:linux, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13075,"[Bug] File selection via ""@"" mention doesn't highlight selected state (after the new ""clickable"" feature was implemented)","bug, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13071,[Bug] Claude Code passes invalid `--no-stat` flag to `git show` command,"bug, has repro, platform:linux, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
13067,Allow read-only bash commands in plan mode,"enhancement, area:tools, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
13066,Feature request: Add customizable icon/mascot color theme,"enhancement, area:tui",Feature Request,Positive,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13056,[FEATURE] Support local persistence of .claude/CLAUDE.md when working on remote SSH servers,"enhancement, has repro, memory",Feature Request,Negative,L1.9,Performance & Resources,Other,Other,Low,Weak L2 match (score=1)
13049,[Bug] Image size error persists after clearing prompt and image data,"bug, has repro, platform:windows, area:tui, memory",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13047,[Feature Request] Add prompt to create documentation in plan mode,"enhancement, platform:macos, area:tui, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
13041,[BUG] Phpstorm plugin 0.1.13 - ClaudeFilePathFilter crashes on Windows due to invalid path characters and breaks terminal selection highlight,"bug, has repro, platform:windows, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
13037,[Bug] Token consumption without output generation during task execution,"bug, has repro, platform:linux, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
13036,Mobile Landscape UI: Header menus not visible,invalid,Bug,Negative,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13025,[FEATURE] Add search/filter for /permissions allow list,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13008,[FEATURE] OSC 8 Hyperlinks for Clickable File Paths,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
13006,[Bug] Spanish language: Missing diacritics and special characters in output,"bug, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
13000,[Bug] Terminal focus handling in mlterm,"bug, duplicate, has repro, platform:linux, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12986,[FEATURE] Allow the installed browser tools like Gramarly to access the chat window.,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12983,.,invalid,Bug,Neutral,Other,Other,Other,Other,Low,No clear L1/L2 match
12980,[Feature Request] Add option to skip trust prompt when .claude/settings.local.json allows it,"enhancement, platform:linux, area:security",Feature Request,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
12975,[Bug] Terminal hangs when executing bash command with /dev/urandom on macOS 15.6,"bug, has repro, platform:macos, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12970,[Feature Request] Add pagination/scrolling for long output responses,"duplicate, enhancement, platform:linux, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
12969,[FEATURE] Make Claude model ID fully configurable (including AWS China regions and custom models),"enhancement, has repro, api:bedrock, area:model, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
12963,RFE: Shell tool display name should reflect actual shell (zsh vs bash),"enhancement, area:tui, area:tools",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12961,API Error: Connection error.,"bug, duplicate, has repro, platform:macos, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12957,[Feature Request] Plan mode with Opus and Sonnet for doing same with Haiku mode,"enhancement, area:model, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12953,[BUG] Mousewheel scrolls through input history instead of chat history,"bug, has repro, platform:windows, area:tui, area:tools",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12952,[Bug] Anthropic API token counting performance degrades linearly with conversation size,"bug, has repro, platform:linux, area:api, perf:memory",Bug,Negative,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
12951,[Feature Request] Auto-detect macOS network location settings for proxy configuration,"enhancement, platform:macos, area:core",Feature Request,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12947,[Bug] Anthropic API Error: Image media type mismatch on image files,"bug, has repro, platform:macos, area:tools, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
12944,[Bug] AskUserQuestion Tool Not Available in Claude VSCode Extension,"bug, has repro, platform:macos, area:tools, area:ide",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12943,[Bug] Color output not restored after upgrade and update notification persists on latest version,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12940,[BUG] High memory consumption when running Claude Code in multiple IntelliJ projects,"bug, has repro, platform:macos, area:ide, memory, perf:memory",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
12937,[BUG] Stuck in edit dialog when trying to edit an agent in Claude Code CLI with AgentSDK installed,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12933,"[Bug] Glob pattern search returns only files, not directories",,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12927,[FEATURE] /copy command to copy last response to clipboard,"duplicate, enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12923,[Feature Request] Restore to-do list UI from web version to CLI,"enhancement, platform:macos, area:tui, area:tools",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12921,"[Feature Request] Improve Claude's output tone to use positive, prescriptive language instead of negative directives","enhancement, platform:macos, area:core",Feature Request,Negative,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12913,[Bug] Chat pasting causes Claude to fail responding,"bug, has repro, platform:macos, area:mcp",Bug,Neutral,L1.5,MCP Integration,Other,Other,Low,Weak L2 match (score=1)
12910,[BUG] OSC terminal color query responses leak into input buffer,"bug, has repro, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12908,[BUG] Conversation History disappeared after update.,"bug, platform:macos, area:ide, memory",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
12904,API Error: Connection error.,"bug, has repro, platform:macos, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12903,[Bug] Git repository not recognized despite valid .git directory,"bug, platform:macos, area:core",Bug,Negative,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12900,[Bug] CLion IDE integration issue,"bug, has repro, platform:windows, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
12889,[BUG] Opus 4.5 overuses markdown tables,"bug, has repro, platform:macos, area:tui, area:model",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
12887,[BUG] Console window hangs when claude is running more than one subagent,"bug, has repro, platform:windows, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
12867,[Bug] Anthropic API Error: Image dimensions exceed max allowed size in multi-image requests,"bug, has repro, platform:macos, area:api",Bug,Neutral,L1.2,API & Integration,Other,Other,Low,No L2 match found
12866,[BUG],invalid,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12862,[FEATURE] Improve error message when origin/HEAD is not set for /security-review command,"enhancement, has repro, area:security",Feature Request,Neutral,L1.10,Security,Other,Other,Low,No L2 match found
12859,[FEATURE Request] editing previous message,"enhancement, area:tui",Feature Request,Neutral,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12858,Feature Request: MCP to access Claude.ai chat history and Projects,"enhancement, area:api, area:mcp",Feature Request,Neutral,L1.2,API & Integration,Other,Other,Low,Weak L2 match (score=1)
12856,Unable to connect to API due to poor internet connection,"bug, duplicate, has repro, platform:macos, area:core, area:api",Bug,Negative,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12855,Sandboxie Plus compatibility issues with UNC paths and terminal-IDE communication,"bug, platform:windows, external",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
12843,Assets Canister: include/require don't work with PHP files from assets canister,invalid,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12831,.,invalid,Bug,Neutral,Other,Other,Other,Other,Low,No clear L1/L2 match
12830,[BUG] Using something other than Mac Shell (terminal) causes notifications to spawn a terminal window,"bug, has repro, platform:macos, area:tools",Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12828,API Error: Connection error.,"bug, has repro, platform:macos, area:core, area:api",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12826,[BUG] plan markdown losing the last character on some lines,bug,Bug,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12824,[Bug] Plan markdown file remains visible after conversation completion,"bug, platform:macos, area:tui",Bug,Neutral,L1.3,Terminal UI ,Other,Other,Low,No L2 match found
12817,[DOCS] Document in the README of each plugin the syntax for allowing skills to be run automatically without Claude asking for permission,"documentation, enhancement, area:tools",Documentation,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
12815,5-hour limit reached · resets 6am (Asia/Seoul) · /upgrade to Max 20x or turn on /extra-usage,"bug, has repro, platform:windows, area:auth",Bug,Neutral,L1.8,Platform-Specific,Other,Other,Low,Weak L2 match (score=1)
12811,Test,invalid,Bug,Neutral,Other,Other,Other,Other,Low,No clear L1/L2 match
12808,"[BUG] In vscode workspace, Claude Code always starts in first project","bug, has repro, platform:linux, area:ide",Bug,Neutral,L1.6,IDE Integration,Other,Other,Low,Weak L2 match (score=1)
12775,Anti-Pattern Detection,"enhancement, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,No L2 match found
12772,Research-First Workflow Enforcement,"enhancement, area:core",Documentation,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
12769,Enforce Hypothesis-Driven Debugging Mode,"enhancement, area:model, area:core",Bug,Neutral,L1.1,Core Functionality,Other,Other,Low,Weak L2 match (score=1)
12758,Input blocked when .env file exists in working directory (fish shell),"bug, has repro, platform:linux, area:tui",Bug,Negative,L1.3,Terminal UI ,Other,Other,Low,Weak L2 match (score=1)
12748,[FEATURE] Add cwd parameter to Task tool for setting subagent working directory (to support Git worktrees),"enhancement, area:tools",Feature Request,Neutral,L1.4,Tools & Execution,Other,Other,Low,Weak L2 match (score=1)
